Algoritmo,Distribuicao,TamanhoVetor,Comparacoes,Trocas,AcessosMemoria,ProfRecursao,TempoNS,MemoriaAuxiliarBytes
Busca Sequencial,Inicio,1000,1,0,2,0,800,13
Busca Sequencial,Inicio,1000,1,0,2,0,500,13
Busca Sequencial,Inicio,1000,1,0,2,0,500,13
Busca Sequencial,Inicio,1000,1,0,2,0,600,13
Busca Sequencial,Inicio,1000,1,0,2,0,500,13
Busca Sequencial,Inicio,1000,1,0,2,0,400,13
Busca Sequencial,Inicio,1000,1,0,2,0,400,13
Busca Sequencial,Inicio,1000,1,0,2,0,400,13
Busca Sequencial,Inicio,1000,1,0,2,0,400,13
Busca Sequencial,Inicio,1000,1,0,2,0,600,13
Busca Sequencial,Inicio,1000,1,0,2,0,500,13
Busca Sequencial,Inicio,1000,1,0,2,0,400,13
Busca Sequencial,Inicio,1000,1,0,2,0,600,13
Busca Sequencial,Inicio,1000,1,0,2,0,400,13
Busca Sequencial,Inicio,1000,1,0,2,0,500,13
Busca Sequencial,Inicio,1000,1,0,2,0,500,13
Busca Sequencial,Inicio,1000,1,0,2,0,600,13
Busca Sequencial,Inicio,1000,1,0,2,0,500,13
Busca Sequencial,Inicio,1000,1,0,2,0,500,13
Busca Sequencial,Inicio,1000,1,0,2,0,1000,13
Busca Sequencial,Inicio,1000,1,0,2,0,600,13
Busca Sequencial,Inicio,1000,1,0,2,0,3700,13
Busca Sequencial,Inicio,1000,1,0,2,0,500,13
Busca Sequencial,Inicio,1000,1,0,2,0,400,13
Busca Sequencial,Inicio,1000,1,0,2,0,400,13
Busca Sequencial,Inicio,1000,1,0,2,0,400,13
Busca Sequencial,Inicio,1000,1,0,2,0,500,13
Busca Sequencial,Inicio,1000,1,0,2,0,400,13
Busca Sequencial,Inicio,1000,1,0,2,0,500,13
Busca Sequencial,Inicio,1000,1,0,2,0,400,13
Busca Binaria,Inicio,1000,9,0,18,0,1100,13
Busca Binaria,Inicio,1000,9,0,18,0,1100,13
Busca Binaria,Inicio,1000,9,0,18,0,1100,13
Busca Binaria,Inicio,1000,9,0,18,0,1200,13
Busca Binaria,Inicio,1000,9,0,18,0,1200,13
Busca Binaria,Inicio,1000,9,0,18,0,1200,13
Busca Binaria,Inicio,1000,9,0,18,0,1300,13
Busca Binaria,Inicio,1000,9,0,18,0,1100,13
Busca Binaria,Inicio,1000,9,0,18,0,1700,13
Busca Binaria,Inicio,1000,9,0,18,0,1200,13
Busca Binaria,Inicio,1000,9,0,18,0,1300,13
Busca Binaria,Inicio,1000,9,0,18,0,1000,13
Busca Binaria,Inicio,1000,9,0,18,0,1300,13
Busca Binaria,Inicio,1000,9,0,18,0,1100,13
Busca Binaria,Inicio,1000,9,0,18,0,1300,13
Busca Binaria,Inicio,1000,9,0,18,0,1400,13
Busca Binaria,Inicio,1000,9,0,18,0,1000,13
Busca Binaria,Inicio,1000,9,0,18,0,1400,13
Busca Binaria,Inicio,1000,9,0,18,0,1100,13
Busca Binaria,Inicio,1000,9,0,18,0,1800,13
Busca Binaria,Inicio,1000,9,0,18,0,1300,13
Busca Binaria,Inicio,1000,9,0,18,0,1200,13
Busca Binaria,Inicio,1000,9,0,18,0,1500,13
Busca Binaria,Inicio,1000,9,0,18,0,1200,13
Busca Binaria,Inicio,1000,9,0,18,0,1200,13
Busca Binaria,Inicio,1000,9,0,18,0,1200,13
Busca Binaria,Inicio,1000,9,0,18,0,1300,13
Busca Binaria,Inicio,1000,9,0,18,0,1300,13
Busca Binaria,Inicio,1000,9,0,18,0,1000,13
Busca Binaria,Inicio,1000,9,0,18,0,1200,13
Busca Sequencial,Meio,1000,501,0,1002,0,6500,13
Busca Sequencial,Meio,1000,501,0,1002,0,6000,13
Busca Sequencial,Meio,1000,501,0,1002,0,5900,13
Busca Sequencial,Meio,1000,501,0,1002,0,5500,13
Busca Sequencial,Meio,1000,501,0,1002,0,6000,13
Busca Sequencial,Meio,1000,501,0,1002,0,6600,13
Busca Sequencial,Meio,1000,501,0,1002,0,6300,13
Busca Sequencial,Meio,1000,501,0,1002,0,6400,13
Busca Sequencial,Meio,1000,501,0,1002,0,6600,13
Busca Sequencial,Meio,1000,501,0,1002,0,6100,13
Busca Sequencial,Meio,1000,501,0,1002,0,6000,13
Busca Sequencial,Meio,1000,501,0,1002,0,7000,13
Busca Sequencial,Meio,1000,501,0,1002,0,6500,13
Busca Sequencial,Meio,1000,501,0,1002,0,6000,13
Busca Sequencial,Meio,1000,501,0,1002,0,6000,13
Busca Sequencial,Meio,1000,501,0,1002,0,9000,13
Busca Sequencial,Meio,1000,501,0,1002,0,10600,13
Busca Sequencial,Meio,1000,501,0,1002,0,6100,13
Busca Sequencial,Meio,1000,501,0,1002,0,5600,13
Busca Sequencial,Meio,1000,501,0,1002,0,9800,13
Busca Sequencial,Meio,1000,501,0,1002,0,7500,13
Busca Sequencial,Meio,1000,501,0,1002,0,8000,13
Busca Sequencial,Meio,1000,501,0,1002,0,5900,13
Busca Sequencial,Meio,1000,501,0,1002,0,6200,13
Busca Sequencial,Meio,1000,501,0,1002,0,8100,13
Busca Sequencial,Meio,1000,501,0,1002,0,8700,13
Busca Sequencial,Meio,1000,501,0,1002,0,6700,13
Busca Sequencial,Meio,1000,501,0,1002,0,6300,13
Busca Sequencial,Meio,1000,501,0,1002,0,5900,13
Busca Sequencial,Meio,1000,501,0,1002,0,6100,13
Busca Binaria,Meio,1000,9,0,18,0,1100,13
Busca Binaria,Meio,1000,9,0,18,0,1200,13
Busca Binaria,Meio,1000,9,0,18,0,1000,13
Busca Binaria,Meio,1000,9,0,18,0,1000,13
Busca Binaria,Meio,1000,9,0,18,0,1100,13
Busca Binaria,Meio,1000,9,0,18,0,1100,13
Busca Binaria,Meio,1000,9,0,18,0,1400,13
Busca Binaria,Meio,1000,9,0,18,0,1100,13
Busca Binaria,Meio,1000,9,0,18,0,1300,13
Busca Binaria,Meio,1000,9,0,18,0,3600,13
Busca Binaria,Meio,1000,9,0,18,0,3600,13
Busca Binaria,Meio,1000,9,0,18,0,1200,13
Busca Binaria,Meio,1000,9,0,18,0,1100,13
Busca Binaria,Meio,1000,9,0,18,0,1200,13
Busca Binaria,Meio,1000,9,0,18,0,1000,13
Busca Binaria,Meio,1000,9,0,18,0,1100,13
Busca Binaria,Meio,1000,9,0,18,0,1100,13
Busca Binaria,Meio,1000,9,0,18,0,1100,13
Busca Binaria,Meio,1000,9,0,18,0,1100,13
Busca Binaria,Meio,1000,9,0,18,0,1100,13
Busca Binaria,Meio,1000,9,0,18,0,1400,13
Busca Binaria,Meio,1000,9,0,18,0,1600,13
Busca Binaria,Meio,1000,9,0,18,0,1600,13
Busca Binaria,Meio,1000,9,0,18,0,1200,13
Busca Binaria,Meio,1000,9,0,18,0,1700,13
Busca Binaria,Meio,1000,9,0,18,0,1200,13
Busca Binaria,Meio,1000,9,0,18,0,1100,13
Busca Binaria,Meio,1000,9,0,18,0,1100,13
Busca Binaria,Meio,1000,9,0,18,0,1200,13
Busca Binaria,Meio,1000,9,0,18,0,1100,13
Busca Sequencial,Fim,1000,1000,0,2000,0,12100,13
Busca Sequencial,Fim,1000,1000,0,2000,0,12200,13
Busca Sequencial,Fim,1000,1000,0,2000,0,11400,13
Busca Sequencial,Fim,1000,1000,0,2000,0,10700,13
Busca Sequencial,Fim,1000,1000,0,2000,0,11500,13
Busca Sequencial,Fim,1000,1000,0,2000,0,15500,13
Busca Sequencial,Fim,1000,1000,0,2000,0,14200,13
Busca Sequencial,Fim,1000,1000,0,2000,0,11700,13
Busca Sequencial,Fim,1000,1000,0,2000,0,10800,13
Busca Sequencial,Fim,1000,1000,0,2000,0,13000,13
Busca Sequencial,Fim,1000,1000,0,2000,0,11400,13
Busca Sequencial,Fim,1000,1000,0,2000,0,14600,13
Busca Sequencial,Fim,1000,1000,0,2000,0,13200,13
Busca Sequencial,Fim,1000,1000,0,2000,0,21200,13
Busca Sequencial,Fim,1000,1000,0,2000,0,12400,13
Busca Sequencial,Fim,1000,1000,0,2000,0,11400,13
Busca Sequencial,Fim,1000,1000,0,2000,0,11400,13
Busca Sequencial,Fim,1000,1000,0,2000,0,15300,13
Busca Sequencial,Fim,1000,1000,0,2000,0,11500,13
Busca Sequencial,Fim,1000,1000,0,2000,0,11400,13
Busca Sequencial,Fim,1000,1000,0,2000,0,13700,13
Busca Sequencial,Fim,1000,1000,0,2000,0,13000,13
Busca Sequencial,Fim,1000,1000,0,2000,0,16700,13
Busca Sequencial,Fim,1000,1000,0,2000,0,12000,13
Busca Sequencial,Fim,1000,1000,0,2000,0,18300,13
Busca Sequencial,Fim,1000,1000,0,2000,0,12300,13
Busca Sequencial,Fim,1000,1000,0,2000,0,26200,13
Busca Sequencial,Fim,1000,1000,0,2000,0,13800,13
Busca Sequencial,Fim,1000,1000,0,2000,0,14800,13
Busca Sequencial,Fim,1000,1000,0,2000,0,11900,13
Busca Binaria,Fim,1000,10,0,20,0,1000,13
Busca Binaria,Fim,1000,10,0,20,0,900,13
Busca Binaria,Fim,1000,10,0,20,0,1100,13
Busca Binaria,Fim,1000,10,0,20,0,1000,13
Busca Binaria,Fim,1000,10,0,20,0,15200,13
Busca Binaria,Fim,1000,10,0,20,0,1000,13
Busca Binaria,Fim,1000,10,0,20,0,1200,13
Busca Binaria,Fim,1000,10,0,20,0,1100,13
Busca Binaria,Fim,1000,10,0,20,0,1500,13
Busca Binaria,Fim,1000,10,0,20,0,1000,13
Busca Binaria,Fim,1000,10,0,20,0,1300,13
Busca Binaria,Fim,1000,10,0,20,0,2500,13
Busca Binaria,Fim,1000,10,0,20,0,900,13
Busca Binaria,Fim,1000,10,0,20,0,1600,13
Busca Binaria,Fim,1000,10,0,20,0,1100,13
Busca Binaria,Fim,1000,10,0,20,0,1200,13
Busca Binaria,Fim,1000,10,0,20,0,1200,13
Busca Binaria,Fim,1000,10,0,20,0,1800,13
Busca Binaria,Fim,1000,10,0,20,0,1500,13
Busca Binaria,Fim,1000,10,0,20,0,1000,13
Busca Binaria,Fim,1000,10,0,20,0,1400,13
Busca Binaria,Fim,1000,10,0,20,0,2200,13
Busca Binaria,Fim,1000,10,0,20,0,1100,13
Busca Binaria,Fim,1000,10,0,20,0,1000,13
Busca Binaria,Fim,1000,10,0,20,0,1400,13
Busca Binaria,Fim,1000,10,0,20,0,1100,13
Busca Binaria,Fim,1000,10,0,20,0,1300,13
Busca Binaria,Fim,1000,10,0,20,0,3900,13
Busca Binaria,Fim,1000,10,0,20,0,1700,13
Busca Binaria,Fim,1000,10,0,20,0,1100,13
Busca Sequencial,Aleatorio,1000,42,0,84,0,1200,13
Busca Sequencial,Aleatorio,1000,42,0,84,0,1000,13
Busca Sequencial,Aleatorio,1000,42,0,84,0,1100,13
Busca Sequencial,Aleatorio,1000,42,0,84,0,1100,13
Busca Sequencial,Aleatorio,1000,42,0,84,0,3700,13
Busca Sequencial,Aleatorio,1000,42,0,84,0,1500,13
Busca Sequencial,Aleatorio,1000,42,0,84,0,1100,13
