Algoritmo,Distribuicao,TamanhoVetor,Comparacoes,Trocas,AcessosMemoria,ProfRecursao,TempoNS,MemoriaAuxiliarBytes
Busca Sequencial,Inicio,1000,1,0,2,0,613,13
Busca Binaria,Inicio,1000,9,0,18,0,1243,13
Busca Sequencial,Meio,1000,501,0,1002,0,6796,13
Busca Binaria,Meio,1000,9,0,18,0,1356,13
Busca Sequencial,Fim,1000,1000,0,2000,0,13653,13
Busca Binaria,Fim,1000,10,0,20,0,1843,13
Busca Sequencial,Aleatorio,1000,42,0,84,0,1523,13
Busca Binaria,Aleatorio,1000,8,0,16,0,1336,13
Busca Sequencial,Inexistente,1000,1000,0,2000,0,14253,13
Busca Binaria,Inexistente,1000,9,0,18,0,1536,13
Busca Sequencial,Inicio,5000,1,0,2,0,1486,13
Busca Binaria,Inicio,5000,12,0,24,0,5350,13
Busca Sequencial,Meio,5000,2501,0,5002,0,35176,13
Busca Binaria,Meio,5000,12,0,24,0,1563,13
Busca Sequencial,Fim,5000,5000,0,10000,0,61753,13
Busca Binaria,Fim,5000,13,0,26,0,1783,13
Busca Sequencial,Aleatorio,5000,3468,0,6936,0,45916,13
Busca Binaria,Aleatorio,5000,11,0,22,0,1476,13
Busca Sequencial,Inexistente,5000,5000,0,10000,0,66280,13
Busca Binaria,Inexistente,5000,12,0,24,0,2013,13
Busca Sequencial,Inicio,10000,1,0,2,0,510,13
Busca Binaria,Inicio,10000,13,0,26,0,1856,13
Busca Sequencial,Meio,10000,5001,0,10002,0,71373,13
Busca Binaria,Meio,10000,13,0,26,0,3453,13
Busca Sequencial,Fim,10000,10000,0,20000,0,234080,13
Busca Binaria,Fim,10000,14,0,28,0,2123,13
Busca Sequencial,Aleatorio,10000,6335,0,12670,0,79506,13
Busca Binaria,Aleatorio,10000,13,0,26,0,2153,13
Busca Sequencial,Inexistente,10000,10000,0,20000,0,135603,13
Busca Binaria,Inexistente,10000,13,0,26,0,2406,13
