Algoritmo,Distribuicao,TamanhoVetor,Comparacoes,Trocas,AcessosMemoria,ProfRecursao,TempoNS,MemoriaAuxiliarBytes
Bubble Sort,Aleatorio,1000,497154,243195,1967088,0,27535000,13
Bubble Sort,Aleatorio,1000,499347,250735,2001634,0,32784100,13
Bubble Sort,Aleatorio,1000,499094,254260,2015228,0,37443600,13
Bubble Sort,Aleatorio,1000,499290,249516,1996644,0,35841900,13
Bubble Sort,Aleatorio,1000,497085,249039,1990326,0,31494600,13
Bubble Sort,Aleatorio,1000,497609,247397,1984806,0,35131300,13
Bubble Sort,Aleatorio,1000,497730,238651,1950064,0,30713100,13
Bubble Sort,Aleatorio,1000,497670,255932,2019068,0,52191600,13
Bubble Sort,Aleatorio,1000,498015,251986,2003974,0,73101300,13
Bubble Sort,Aleatorio,1000,498465,244654,1975546,0,44436200,13
Bubble Sort,Aleatorio,1000,499434,249492,1996836,0,33495800,13
Bubble Sort,Aleatorio,1000,499094,248692,1992956,0,28434000,13
Bubble Sort,Aleatorio,1000,499122,242021,1966328,0,25433100,13
Bubble Sort,Aleatorio,1000,498275,249832,1995878,0,23532600,13
Bubble Sort,Aleatorio,1000,498372,249663,1995396,0,30196000,13
Bubble Sort,Aleatorio,1000,497670,257307,2024568,0,58456400,13
Bubble Sort,Aleatorio,1000,499035,250600,2000470,0,61674300,13
Bubble Sort,Aleatorio,1000,498510,253228,2009932,0,75657500,13
Bubble Sort,Aleatorio,1000,499122,258317,2031512,0,53286200,13
Bubble Sort,Aleatorio,1000,497670,238956,1951164,0,36790800,13
Bubble Sort,Aleatorio,1000,499149,250586,2000642,0,36107300,13
Bubble Sort,Aleatorio,1000,498225,248507,1990478,0,34193700,13
Bubble Sort,Aleatorio,1000,497085,249700,1992970,0,33269500,13
Bubble Sort,Aleatorio,1000,499409,248890,1994378,0,34139100,13
Bubble Sort,Aleatorio,1000,498122,253065,2008504,0,35377100,13
Bubble Sort,Aleatorio,1000,499065,247979,1990046,0,26423000,13
Bubble Sort,Aleatorio,1000,498680,249283,1994492,0,21264400,13
Bubble Sort,Aleatorio,1000,498939,253241,2010842,0,19972500,13
Bubble Sort,Aleatorio,1000,498465,244361,1974374,0,20653700,13
Bubble Sort,Aleatorio,1000,498680,250309,1998596,0,20558900,13
Insertion Sort,Aleatorio,1000,245926,245930,983724,0,19938900,12
Insertion Sort,Aleatorio,1000,259763,259766,1039066,0,16453700,12
Insertion Sort,Aleatorio,1000,256080,256075,1024324,0,15896500,12
Insertion Sort,Aleatorio,1000,248597,248588,994398,0,7558100,12
Insertion Sort,Aleatorio,1000,255612,255609,1022456,0,7680600,12
Insertion Sort,Aleatorio,1000,260769,260773,1043098,0,42436800,12
Insertion Sort,Aleatorio,1000,258553,258549,1034220,0,31057600,12
Insertion Sort,Aleatorio,1000,257506,257507,1030036,0,15543400,12
Insertion Sort,Aleatorio,1000,247900,247894,991610,0,16534700,12
Insertion Sort,Aleatorio,1000,248146,248144,992588,0,17114500,12
Insertion Sort,Aleatorio,1000,251745,251749,1006998,0,15676300,12
Insertion Sort,Aleatorio,1000,247131,247132,988538,0,18338300,12
Insertion Sort,Aleatorio,1000,244746,244747,979002,0,20329300,12
Insertion Sort,Aleatorio,1000,249388,249383,997564,0,16131400,12
Insertion Sort,Aleatorio,1000,249208,249202,996836,0,15913300,12
Insertion Sort,Aleatorio,1000,257817,257815,1031280,0,13155300,12
Insertion Sort,Aleatorio,1000,241234,241235,964950,0,12312900,12
Insertion Sort,Aleatorio,1000,262810,262809,1051250,0,14196200,12
Insertion Sort,Aleatorio,1000,245023,245027,980108,0,8337300,12
Insertion Sort,Aleatorio,1000,262911,262911,1051660,0,12270700,12
Insertion Sort,Aleatorio,1000,249989,249988,999968,0,7483800,12
Insertion Sort,Aleatorio,1000,237051,237056,948224,0,8611400,12
Insertion Sort,Aleatorio,1000,248499,248496,994000,0,13266000,12
Insertion Sort,Aleatorio,1000,251118,251120,1004492,0,8931100,12
