Algoritmo,Distribuicao,TamanhoVetor,Comparacoes,Trocas,AcessosMemoria,ProfRecursao,TempoNS,MemoriaAuxiliarBytes
Bubble Sort,Aleatorio,1000,498452,249313,1994158,0,36986286,13
Insertion Sort,Aleatorio,1000,251744,251744,1006989,0,14451936,12
Selection Sort,Aleatorio,1000,499500,993,1002973,0,17125656,12
Merge Sort,Aleatorio,1000,8710,1265,29928,11,2066730,39904
Heap Sort,Aleatorio,1000,16857,9085,70057,0,1163743,12
Shell Sort,Aleatorio,1000,13828,12218,56198,0,910603,16
Quick Sort,Aleatorio,1000,11076,6244,47797,26,672126,312
Quick Random,Aleatorio,1000,11208,6938,50839,26,694006,312
Bubble Sort,Ordenado,1000,999,0,1998,0,34090,13
Insertion Sort,Ordenado,1000,999,0,3996,0,60996,12
Selection Sort,Ordenado,1000,499500,0,999000,0,17859926,12
Merge Sort,Ordenado,1000,5044,4932,29928,11,1753310,39904
Heap Sort,Ordenado,1000,17583,9708,73998,0,1221140,12
Shell Sort,Ordenado,1000,5457,0,21828,0,302176,16
Quick Sort,Ordenado,1000,499500,500499,3001995,1000,26860783,12000
Quick Random,Ordenado,1000,10963,6596,48989,22,576843,264
Bubble Sort,Reverso,1000,499500,499500,2997000,0,32376246,13
Insertion Sort,Reverso,1000,499500,500499,1999998,0,24879020,12
Selection Sort,Reverso,1000,499500,500,1001000,0,16020193,12
Merge Sort,Reverso,1000,4932,5044,29928,11,1285776,39904
Heap Sort,Reverso,1000,15965,8316,65194,0,1051103,12
Shell Sort,Reverso,1000,8550,6855,35854,0,587203,16
Quick Sort,Reverso,1000,499500,250499,2001995,1000,25606690,12000
Quick Random,Reverso,1000,11473,8057,55853,25,708593,300
Bubble Sort,Parcial,1000,495193,58220,1223267,0,23618650,13
Insertion Sort,Parcial,1000,57731,57718,230925,0,2970863,12
Selection Sort,Parcial,1000,499500,99,999399,0,17414970,12
Merge Sort,Parcial,1000,8081,1894,29928,11,1675750,39904
Heap Sort,Parcial,1000,17406,9590,73175,0,1098463,12
Shell Sort,Parcial,1000,11555,8738,46400,0,757173,16
Quick Sort,Parcial,1000,23347,13987,103423,70,1212176,840
Quick Random,Parcial,1000,11442,7050,51755,26,686650,312
Bubble Sort,Repetitivo,1000,498548,247095,1985479,0,29069000,13
Insertion Sort,Repetitivo,1000,250005,250000,1000030,0,13260663,12
Selection Sort,Repetitivo,1000,499500,987,1002950,0,16479580,12
Merge Sort,Repetitivo,1000,8707,1268,29928,11,1713453,39904
Heap Sort,Repetitivo,1000,16846,9065,69955,0,1103916,12
Shell Sort,Repetitivo,1000,12836,10968,52202,0,836170,16
Quick Sort,Repetitivo,1000,11587,7868,55456,27,704500,324
Quick Random,Repetitivo,1000,11484,8725,58680,27,855553,324
Bubble Sort,Gaussiano,1000,498271,249146,1993130,0,29494763,13
Insertion Sort,Gaussiano,1000,249781,249780,999136,0,13226066,12
Selection Sort,Gaussiano,1000,499500,993,1002972,0,16607643,12
Merge Sort,Gaussiano,1000,8710,1265,29928,11,1666873,39904
Heap Sort,Gaussiano,1000,16841,9069,69960,0,1091946,12
Shell Sort,Gaussiano,1000,13092,11327,53237,0,835730,16
Quick Sort,Gaussiano,1000,11120,6897,50569,27,671173,324
Quick Random,Gaussiano,1000,11353,7795,54624,28,765293,336
Bubble Sort,Aleatorio,5000,12491162,6249888,49981879,0,728871286,13
Insertion Sort,Aleatorio,5000,6253264,6253264,25013074,0,389447956,12
Selection Sort,Aleatorio,5000,12497500,4991,25014965,0,637946333,12
Merge Sort,Aleatorio,5000,55216,6591,185424,14,17333456,247232
Heap Sort,Aleatorio,5000,107689,57092,443750,0,11109960,12
Shell Sort,Aleatorio,5000,101212,90668,409187,0,7776740,16
Quick Sort,Aleatorio,5000,71026,39446,303170,34,4686133,408
Quick Random,Aleatorio,5000,70654,42091,313008,33,5132353,396
Bubble Sort,Ordenado,5000,4999,0,9998,0,264430,13
Insertion Sort,Ordenado,5000,4999,0,19996,0,409686,12
Selection Sort,Ordenado,5000,12497500,0,24995000,0,482165016,12
Merge Sort,Ordenado,5000,32004,29804,185424,14,11705093,247232
Heap Sort,Ordenado,5000,112126,60932,467980,0,9903210,12
Shell Sort,Ordenado,5000,35084,0,140336,0,2069213,16
Quick Sort,Ordenado,5000,12497500,12502499,75009995,5000,579895726,60000
Quick Random,Ordenado,5000,76087,49132,352091,29,4557946,348
Bubble Sort,Reverso,5000,12497500,12497500,74985000,0,634056233,13
Insertion Sort,Reverso,5000,12497500,12502499,49999998,0,425095306,12
Selection Sort,Reverso,5000,12497500,2500,25005000,0,285967023,12
Merge Sort,Reverso,5000,29804,32004,185424,14,9558810,247232
Heap Sort,Reverso,5000,103227,53436,420198,0,6732240,12
Shell Sort,Reverso,5000,51491,35549,211574,0,3107153,16
Quick Sort,Reverso,5000,12497500,6252499,50009995,5000,376430453,60000
Quick Random,Reverso,5000,74553,43684,327177,29,4123023,348
Bubble Sort,Parcial,5000,12471995,1433989,30679949,0,342728560,13
